as_rank,as_number,as_name,org_name,as_type,no_ases,no_ip4_prefixes,no_ip4_addresses,pc_ases,pc_ip4_prefixes,pc_ip4_addresses,as_transit_degree
28486,13406,MCCFL,"State College of Florida, Manatee-Sarasota",En,1,2,264,0.00%,0.00%,0.00%,0
28490,53362,MIXIT-AS,"Mixit, Inc.",Tr/Ac,1,2,260,0.00%,0.00%,0.00%,0
28490,5666,NET-CPRK,"Harris CapRock Communications, Inc.",En,1,2,260,0.00%,0.00%,0.00%,0
28490,55472,APNGTSNET-...,APN News & Media,En,1,2,260,0.00%,0.00%,0.00%,0
28493,24475,THAIREN-TR...,Resaerch and Education Network,Tr/Ac,1,2,257,0.00%,0.00%,0.00%,4
28493,49429,ROTRONIC-AS,Rotronic AG,En,1,2,257,0.00%,0.00%,0.00%,0
28495,58255,VHOST-COM-...,PE Chuprin Dmitry Aleksandrovich,En,1,2,256,0.00%,0.00%,0.00%,0
28495,27936,(no data),CREDICORP BANK S.A,En,1,2,256,0.00%,0.00%,0.00%,0
28495,40978,FCSH,CJSC Football Club 'Shakhtyor' (Donetsk),En,1,2,256,0.00%,0.00%,0.00%,0
28495,28493,(no data),Universidad Pedagogica Nacional,En,1,2,256,0.00%,0.00%,0.00%,0
28495,15767,ABANKA-AS,Abanka Vipa d.d.,En,1,2,256,0.00%,0.00%,0.00%,0
28495,198494,PREGIS,"PREGIS, a.s",En,1,2,256,0.00%,0.00%,0.00%,0
28495,48788,SITRONICS,"JSC ""SITRONICS Telecom Solutios""",En,1,2,256,0.00%,0.00%,0.00%,0
28495,31019,MEANIE,Meanie AS,Tr/Ac,1,2,256,0.00%,0.00%,0.00%,0
28495,262991,(no data),MG Vidros Automotivos Ltda.,En,1,2,256,0.00%,0.00%,0.00%,0
28495,13556,IVANET-MIAMI,IBASIS INC.,En,1,2,256,0.00%,0.00%,0.00%,0
28495,19015,GREENPATH,GreenPath Inc,En,1,2,256,0.00%,0.00%,0.00%,0
28495,60211,IE-Shevchi...,IE Shevchik Anton Yaroslavovich,En,1,2,256,0.00%,0.00%,0.00%,0
28495,197012,IBI-NET,Serutai bursa vihaskaot biysrael I.B.I LTD,En,1,2,256,0.00%,0.00%,0.00%,0
28495,51152,VALMESA-AS,"Valoraciones Mediterraneo, S.A.",En,1,2,256,0.00%,0.00%,0.00%,0
28495,48619,SO-AS,Service Online LLC,Co,1,2,256,0.00%,0.00%,0.00%,0
28495,15684,(no data),OPTICOM SIA,En,1,2,256,0.00%,0.00%,0.00%,0
28495,3620,MCIASN-BLK,MCI Telecommunications,En,1,2,256,0.00%,0.00%,0.00%,0
28495,198011,TILIA,"Zavarovalnica Tilia, d.d.",En,1,2,256,0.00%,0.00%,0.00%,0
28495,3677,UIOWA-EXTE...,University of Iowa,En,1,2,256,0.00%,0.00%,0.00%,0
28495,56961,ESAB,ESAB AB,En,1,2,256,0.00%,0.00%,0.00%,0
28495,47919,UKRGASBANK-AS,PJSC JSB UkrGasBank,En,1,2,256,0.00%,0.00%,0.00%,0
28495,43952,ORI-AS,Oriflame Cosmetics Ltd,En,1,2,256,0.00%,0.00%,0.00%,0
28495,49208,VUZBank,VUZ Bank,En,1,2,256,0.00%,0.00%,0.00%,0
28495,199206,IRONFX-AS,IronFX Financial Services LTD,En,1,2,256,0.00%,0.00%,0.00%,0
28495,34951,POLICOLOR-AS,POLICOLOR SA,En,1,2,256,0.00%,0.00%,0.00%,0
28495,56678,GYDROZO-AS,"LLC ""Gydrozo""",En,1,2,256,0.00%,0.00%,0.00%,0
28495,52331,(no data),CORPORACION FINANCIERA NACIONAL,Tr/Ac,1,2,256,0.00%,0.00%,0.00%,0
28522,45390,KBSEC-AS-KR,"KB investment & securities Co.,Ltd",En,1,2,128,0.00%,0.00%,0.00%,0
28523,9573,KRFUTURES-...,KR Futures Inc,En,1,2,96,0.00%,0.00%,0.00%,0
28523,46007,DONGBUAM-A...,Dongbu Asset management,En,1,2,96,0.00%,0.00%,0.00%,0
28523,17571,HANACARDEMS,HANASK card,En,1,2,96,0.00%,0.00%,0.00%,0
28523,38709,JTNET-AS-KR,JTNet,En,1,2,96,0.00%,0.00%,0.00%,0
28527,45369,AS45369,(no data),En,1,2,68,0.00%,0.00%,0.00%,0
