,Malware,Phishing,Exploits,Fraudlent Services,Unwanted Programs,Spammers,Unlabelled
34305,1020,22,65,796,35,0,0
34602,15,0,0,0,0,0,0
8717,78,5,7,8,0,0,0
34309,144,227,0,14,16,0,0
264769,1,0,0,0,0,0,0
34251,205,0,0,0,0,0,0
263230,1,0,0,0,0,0,0
50881,22,19,0,0,0,0,0
31571,2,0,0,0,0,0,0
263235,1,0,0,0,0,0,0
50886,7,0,0,0,0,0,0
263237,149,22,5,0,0,0,0
50888,2,0,0,0,0,0,0
15164,1,0,0,0,0,0,0
7565,1,0,0,0,0,0,0
28400,2,0,0,0,0,0,0
197278,1,0,0,0,0,0,0
34254,5,0,0,0,0,0,0
201630,47,1,4,4,0,0,0
32867,0,0,1,0,0,0,0
38365,387,32,6,0,3,0,0
55101,0,0,0,8,0,0,0
55106,22,13,1,0,0,0,0
7560,19,0,0,0,0,0,0
17923,25,0,0,0,0,0,0
5610,2093,3,0,0,0,0,0
5617,1390,47,8,23,0,0,0
5615,245,0,0,0,0,0,0
5715,2,0,0,16,0,0,0
32869,5,10,0,0,0,0,0
35215,6,0,1,0,0,0,0
35210,1,0,0,0,0,0,0
35213,2,0,0,0,0,0,0
47027,3,0,0,0,0,0,0
132667,37,0,0,0,0,0,0
132663,19,0,0,0,0,0,0
11562,3,0,0,0,0,0,0
11563,2,0,0,0,0,0,0
47028,1,0,0,0,0,0,0
52130,0,0,0,0,8,0,0
35808,1,0,0,0,0,0,0
9524,3,2,0,0,0,0,0
22245,1,0,0,0,0,0,0
62639,6,0,0,4,0,0,0
22241,138,0,0,10,0,0,0
197897,37,0,0,0,0,0,0
43858,2,2,0,4,0,0,0
201094,106,13,115,47,0,9,0
197890,10,0,0,0,0,0,0
25041,2,0,0,0,0,0,0
48744,0,0,0,0,2,0,0
46208,1,2,0,0,0,0,0
50031,4,0,0,0,0,0,0
6775,0,0,0,2,0,0,0
49931,5,0,0,0,0,0,0
6772,3,0,0,0,0,0,0
35804,343,3,7,0,4,2,0
39015,7,0,0,0,0,0,0
39010,1,0,0,0,0,0,0
206728,1,0,0,0,0,0,0
56106,5,0,0,0,0,0,0
56456,276,1,0,0,0,0,0
49300,1,0,0,0,0,0,0
56450,169,0,0,0,0,0,0
56452,0,6,0,0,0,0,0
31716,5,0,0,0,0,0,0
45925,1,0,0,0,0,0,0
201893,1,0,0,0,0,0,0
57270,2,0,0,0,0,0,0
51828,5,0,0,0,0,0,0
35421,2,0,0,0,0,0,0
55819,102,30,0,0,73,0,0
55814,1,0,0,0,0,0,0
16230,95,0,0,0,0,0,0
250,13,1,2,0,0,14,0
16232,16,0,2,0,0,0,0
16234,0,1,0,0,0,0,0
16237,15,0,3,0,0,0,0
16724,40,2,2,4,6,0,0
131316,10,0,0,0,0,0,0
131310,33,0,0,6,0,0,0
12033,3,0,0,0,0,0,0
1251,3,1,0,0,0,0,0
12035,7,0,0,0,0,0,0
49302,0,0,0,1,0,0,0
21612,2,0,0,0,0,0,0
57418,6,0,0,0,0,0,0
133131,0,3,0,0,0,0,0
9503,3,0,0,0,0,0,0
9500,20,0,1,0,0,0,0
9506,88,10,0,0,0,0,0
263276,3,0,0,0,0,0,0
49091,19,0,2,151,0,44,0
49542,25,1,0,101,0,0,0
49093,188,0,196,19,0,3,0
49097,171,0,0,1,0,0,0
49544,3011,151,523,606,2,12,0
28876,2,0,0,0,0,0,0
47104,2,0,0,0,0,0,0
3680,4,2,1,0,0,0,0
43145,1,0,0,0,0,0,0
43147,11,0,0,0,0,0,0
43146,1599,294,77,234,53,0,0
2518,92,4,0,0,0,0,0
2519,179,12,10,38,2,0,0
2514,227,24,5,83,9,0,0
52965,2,0,0,0,0,0,0
2516,1252,174,15,130,237,0,0
2510,190,4,1,1,17,0,0
43148,5,0,0,0,0,0,0
49891,2,0,0,0,0,0,0
46514,2714,0,0,0,0,0,0
49325,8,0,0,0,0,0,0
46844,8428,1395,138,1068,13,7,0
49322,59,0,0,2,0,0,0
42816,1114,0,0,0,0,1,0
42819,1,0,0,0,0,0,0
23342,14,0,1,0,0,0,0
49328,2,0,1,0,0,0,0
30444,1,0,0,0,0,0,0
200761,3,9,0,0,0,0,0
5056,3190,35,0,0,5,0,0
58056,2,0,0,0,0,0,0
20373,0,0,0,0,6,0,0
203496,2,0,0,0,0,0,0
203495,1,4,0,0,0,0,0
135216,1,0,0,0,0,0,0
53974,68,26,3,255,0,0,0
36820,70,32,2,0,0,0,0
53755,817,249,15,521,18,2,0
52720,1,0,0,0,0,0,0
36825,7,0,0,0,15,0,0
53759,2,0,0,4,0,0,0
199361,2,0,0,0,0,0,0
199366,119,51,4,10,0,0,0
199364,4,0,0,0,0,0,0
21922,0,0,0,40,0,0,0
197782,61,0,0,0,0,0,0
54994,179953,14274,96,369,208,0,0
30041,0,1,0,0,0,0,0
18897,3,0,0,0,0,0,0
58940,27,0,0,8,0,0,0
18895,4,0,0,0,0,0,0
18547,7,0,0,0,0,0,0
18540,0,0,0,0,1,0,0
14868,104,2,1,8,0,0,0
14869,1,0,0,0,0,0,0
38623,122,2,0,0,0,0,0
38627,25,3,0,0,0,0,0
38625,4,0,0,0,0,0,0
13070,1,0,0,0,0,0,0
134898,25,0,0,0,0,0,0
13074,2,0,0,0,10,0,0
17073,0,0,0,0,2,0,0
30438,8,0,0,0,0,0,0
30432,4,0,0,0,0,0,0
44220,24,12,0,27,0,0,0
44222,5,0,0,0,0,0,0
202542,6,0,0,0,0,0,0
36175,0,10,0,0,8,0,0
45441,14,0,1,1,0,0,0
132322,137,9,3,43,0,0,0
132325,4,7,0,0,0,0,0
33529,20,0,0,0,2,0,0
54198,4,3,0,0,0,0,0
44798,16,0,0,0,0,0,0
18092,1,0,0,0,0,0,0
23893,3,0,0,0,0,0,0
18097,0,0,0,4,0,0,0
33522,10,0,0,8,0,0,0
203236,2,0,0,0,0,0,0
48057,5,0,0,0,0,0,0
41541,58,7,1,12,0,0,0
27805,4,0,0,0,0,0,0
41544,3,0,0,0,0,0,0
20278,176,65,1,36,0,0,0
38192,5,0,0,0,0,0,0
38193,0,0,0,3,0,0,0
38197,3965,717,29,881,3,0,0
14919,0,3,0,12,0,0,0
196781,1,0,0,0,0,0,0
196782,5563,0,0,0,0,0,0
50512,9,0,0,0,0,0,0
29298,0,0,0,0,2,0,0
29748,43,4,0,0,57,0,0
29290,24,0,0,0,0,0,0
29295,1,0,0,0,0,0,0
134451,43,6,0,6,0,0,0
47233,2,0,0,0,0,0,0
47232,5033,0,0,0,1,0,0
132490,6,7,0,0,0,0,0
132497,1,0,0,0,0,0,0
47236,20,2,0,0,0,0,0
47234,1,0,0,0,0,0,0
41865,32,0,0,0,0,0,0
59545,29,2,0,8,0,0,0
30295,7,0,0,16,0,0,0
59019,5,0,1,0,2,0,0
133695,4,0,0,0,0,0,0
29125,2,0,1,0,0,0,0
29124,43,1,0,0,0,0,0
39578,3,0,0,0,0,0,0
25892,1,0,0,0,0,0,0
14744,2437,41,2,12,32,5,0
39570,363,86,27,93,4,0,0
39573,44,0,0,0,0,0,0
39572,3222,410,62,368,173,3,0
31219,3,0,0,0,0,0,0
395747,45733,294,61,119,103,0,0
31211,105,7,2,12,0,0,0
31213,19,1,0,0,0,0,0
31214,29,1,1,0,0,0,0
31216,18,6,0,0,0,0,0
8036,0,1,0,0,0,0,0
8030,4,0,0,0,0,0,0
52729,1,0,0,0,0,0,0
12859,223,88,3,194,2,0,0
49301,2,0,0,0,0,0,0
42833,12,0,0,2,0,0,0
12851,13,0,0,0,0,0,0
12850,73,73,2,18,4,0,0
12581,3,0,0,0,0,0,0
29003,0,1,0,0,0,0,0
8527,27,0,38,0,0,0,0
12586,1244,119,9,146,1,0,0
35916,724,340,22,320,56,1,0
50473,5,0,0,2,0,0,0
35914,39,5,0,15,11,0,0
133814,1,0,0,0,0,0,0
50474,386,148,1,38,0,0,0
50477,6,0,0,0,0,1,0
44914,4,11,0,0,0,0,0
24087,5,2,0,0,0,0,0
44919,1,2,0,0,0,0,0
24086,1642,0,1,0,0,0,0
58073,397,10,5,96,0,0,0
263059,1,0,0,0,0,0,0
61768,1,0,0,0,0,0,0
61786,1,0,0,0,0,0,0
22652,66,12,13,2,2,0,0
22653,359,152,5,92,40,1,0
61036,14,0,0,0,0,0,0
22658,0,2,0,0,0,0,0
61030,36,2,0,1,0,0,0
26546,33,0,0,0,0,0,0
22381,3,0,0,0,0,0,0
26548,4,0,0,0,0,0,0
22384,442,103,20,104,33,1,0
4298,0,0,0,0,5,0,0
16591,112,40,0,4,0,0,0
199968,203,12,1,26,0,0,0
60921,0,0,1,0,0,0,0
60922,2,0,0,0,1,0,0
28656,0,1,0,0,0,0,0
28657,5,10,0,0,0,0,0
24768,354,160,19,25,2,0,0
28652,8,0,0,0,0,0,0
23387,43,0,0,0,0,0,0
28651,5,0,0,0,0,0,0
23389,9,0,0,0,0,0,0
24766,2,0,0,0,0,0,0
28658,31,0,0,0,0,0,0
19574,345,7,13,1426,0,0,0
61251,0,0,1,0,0,0,0
61255,4,1,0,0,0,0,0
28163,5,0,0,0,0,0,0
61257,1,0,0,0,0,0,0
16928,1,0,0,0,0,0,0
35665,6,0,0,0,0,0,0
35664,1,0,0,0,0,0,0
43714,4,0,0,0,0,0,0
327744,0,2,0,0,0,0,0
35663,6,0,0,0,0,0,0
35662,2157,748,15,934,43,6,0
43449,95,0,0,1,0,1,0
201401,6,0,0,0,0,0,0
43338,3,2,0,0,0,0,0
43440,0,0,0,0,1,0,0
31960,9,4,0,0,0,0,0
43443,7,4,0,0,0,0,0
4747,3,0,0,0,0,0,0
43333,622,142,13,103,2,2,0
43331,103,0,4,0,0,0,0
55314,35,2,2,4,2,0,0
16006,1522,0,0,0,0,0,0
55644,206,67,3,0,14,0,0
32244,8635,1995,180,1618,347,4,0
12231,2,0,0,0,0,0,0
32248,0,2,0,0,0,0,0
42129,6,0,0,0,0,0,0
56843,2212,0,0,0,0,0,0
17358,1,0,0,0,0,0,0
262220,5,0,0,0,0,0,0
17608,3,0,1,0,0,0,0
262893,1,0,0,0,0,0,0
52347,0,0,0,2,0,0,0
17604,27,1,0,0,0,0,0
17352,0,0,0,65,0,0,0
25386,519,4,0,4,0,0,0
25385,1103,13,0,0,0,0,0
4608,0,3,0,0,0,0,0
4609,321,5,2,0,0,0,0
60257,2,0,0,0,0,0,0
262234,6,0,0,0,0,0,0
24143,9,0,0,0,0,0,0
60251,0,2,0,0,0,0,0
262462,6,0,0,0,0,0,0
43554,852,2,8,7,0,0,0
262460,3,0,0,0,0,0,0
262461,1,0,0,0,0,0,0
6453,75409,17946,58,636,1394,0,0
262468,1,0,0,0,0,0,0
18345,6,0,0,0,0,0,0
21880,17,0,0,1,2,0,0
8987,2,0,0,0,0,0,0
19586,3,0,0,0,0,0,0
15344,1,0,0,0,0,0,0
51120,4,0,0,0,0,0,0
51121,38,4,3,1,0,0,0
1280,0,2,0,0,0,0,0
19581,1,0,0,0,0,0,0
60784,2,0,0,0,0,0,0
64005,3,0,0,0,0,0,0
52698,8,2,0,0,0,0,0
60781,51144,5833,465,2509,1224,19,0
60782,1,0,0,0,0,0,0
20718,235,9,9,0,0,0,0
34703,4,0,0,0,0,0,0
20714,3,0,0,0,0,0,0
20860,4746,1788,102,808,263,2,0
42576,2,0,0,0,0,0,0
25563,42,12,0,4,0,0,0
15348,650,54,10,329,12,0,0
36363,7,2,0,4,0,0,0
25560,9,0,0,8,7,0,0
25564,2,0,0,0,0,0,0
36369,1,0,0,0,0,0,0
60073,1,0,0,0,0,0,0
25568,80,7,0,0,0,0,0
48832,19,0,1,0,0,0,0
4201,1,35,0,0,0,0,0
394865,1,0,0,0,0,0,0
49158,9,0,0,0,0,0,0
6185,0,69,0,0,0,0,0
42318,0,2,0,0,0,0,0
6181,81,0,0,0,0,0,0
196678,38,0,0,0,2,0,0
42313,54,0,0,1,0,0,0
46672,3,0,3,0,0,0,0
6908,162,25,3,157,10,0,0
49154,3,0,0,0,0,0,0
264512,2,0,0,0,0,0,0
200572,1,0,0,0,0,0,0
