,Shannon Entropy,Entropy
262699,-0.0,-0.0
557,-0.0,-0.0
558,0.773052780671,23.6564047532
559,-0.0,-0.0
33329,-0.0,-0.0
33330,0.623586030933,19.2905801461
262707,0.355245321276,2.16992500144
33333,0.484196257021,5.75488750216
197175,0.529541094719,10.9427344116
262715,-0.0,-0.0
262717,-0.0,-0.0
197184,-0.0,-0.0
577,0.472889247351,20.7823915618
262725,-0.0,-0.0
262727,-0.0,-0.0
262729,-0.0,-0.0
262730,-0.0,-0.0
589,-0.0,-0.0
33358,-0.0,-0.0
262736,-0.0,-0.0
33362,-0.0,-0.0
33363,0.0596250512784,33.3146826748
262740,-0.0,-0.0
197205,0.355245321276,2.16992500144
393814,-0.0,-0.0
262743,-0.0,-0.0
100,0.355245321276,2.16992500144
603,0.386852807235,2.0
262748,-0.0,-0.0
197214,-0.0,-0.0
262245,-0.0,-0.0
262752,-0.0,-0.0
262753,-0.0,-0.0
262754,-0.0,-0.0
5563,0.384491946657,6.70586951394
262757,0.279279910129,2.64385618977
262758,-0.0,-0.0
262760,0.333900614932,2.29278174923
197225,-0.0,-0.0
197226,0.124051609269,32.3203635793
33387,0.59936322769,30.8090272439
262766,-0.0,-0.0
33392,-0.0,-0.0
262769,-0.0,-0.0
197235,-0.0,-0.0
262775,0.386852807235,2.0
131706,-0.0,-0.0
196714,-0.0,-0.0
131711,-0.0,-0.0
262784,-0.0,-0.0
197251,0.355245321276,2.16992500144
197252,0.38762971154,12.4145042253
197254,-0.0,-0.0
33419,-0.0,-0.0
131726,-0.0,-0.0
197263,-0.0,-0.0
36029,0.13083475816,11.1880331241
131182,-0.0,-0.0
262807,-0.0,-0.0
262808,0.365831343525,2.11150831522
111,-0.0,-0.0
131740,-0.0,-0.0
197278,-0.0,-0.0
33440,0.601395636844,4.84799690655
131745,0.130481609123,4.09310940439
262819,-0.0,-0.0
393892,-0.0,-0.0
33445,-0.0,-0.0
680,0.40986565625,12.3561438102
197291,0.329755336262,2.31748218986
262832,-0.0,-0.0
197298,0.228890275359,3.02974734339
262838,-0.0,-0.0
38345,-0.0,-0.0
197304,-0.0,-0.0
131769,-0.0,-0.0
699,-0.0,-0.0
262844,-0.0,-0.0
197309,0.427709260863,6.26842914026
702,0.561794278557,18.0064543159
703,0.313845219895,2.41503749928
262848,-0.0,-0.0
262851,-0.0,-0.0
262855,-0.0,-0.0
262856,-0.0,-0.0
131785,-0.0,-0.0
714,0.495804375737,12.7746689822
33487,0.605646723833,4.81181253723
197328,0.473525884996,33.4599989096
33489,0.355245321276,2.16992500144
33490,0.386852807235,2.0
33491,0.617740493614,18.3158879466
262868,-0.0,-0.0
33494,0.566655528764,19.5141585767
262877,-0.0,-0.0
197343,0.143612267697,3.91427012597
