,Exploits,Fraudlent Services,Malware,Phishing,Spammers,Unwanted Programs
23136,14.0,6.0,66.0,1.0,7.0,0.0
10316,61.0,1591.0,876.0,254.0,13.0,35.0
2588,302.0,102.0,246.0,0.0,15.0,2.0
206264,4.0,447.0,408.0,19.0,4.0,8.0
49091,2.0,151.0,19.0,0.0,44.0,0.0
49093,195.0,19.0,156.0,0.0,3.0,0.0
49544,368.0,514.0,903.0,150.0,12.0,2.0
4685,0.0,4.0,30.0,3.0,2.0,0.0
42244,26.0,14.0,281.0,27.0,8.0,32.0
45544,10.0,60.0,966.0,162.0,2.0,4.0
4837,625.0,169.0,10196.0,96734.0,83.0,981.0
59371,5.0,0.0,16.0,5.0,3.0,0.0
57172,8.0,0.0,138.0,57.0,1.0,15.0
31252,125.0,677.0,469.0,25.0,1.0,0.0
1101,4.0,16.0,230.0,24.0,2.0,0.0
31624,660.0,1563.0,9016.0,459.0,6.0,15.0
29169,73.0,500.0,471.0,204.0,3.0,310.0
31445,0.0,2.0,59.0,8.0,3.0,19.0
46844,138.0,994.0,2949.0,1340.0,7.0,13.0
42816,0.0,0.0,85.0,0.0,1.0,0.0
33182,148.0,1884.0,8042.0,1798.0,3.0,37.0
55470,5.0,66.0,404.0,64.0,8.0,0.0
6505,0.0,0.0,4.0,2.0,1.0,0.0
8560,615.0,6212.0,14628.0,3708.0,21.0,233.0
8402,22.0,10115.0,3850.0,86.0,1.0,1.0
48974,3.0,27.0,27.0,0.0,2.0,0.0
51557,44.0,168.0,830.0,160.0,1.0,0.0
46562,43.0,270.0,679.0,557.0,1.0,58.0
43289,38.0,376.0,3526.0,203.0,3.0,6.0
53755,15.0,520.0,704.0,249.0,2.0,18.0
4847,54.0,8.0,518.0,678.0,3.0,89.0
35816,7.0,9.0,197.0,8.0,2.0,0.0
28604,0.0,0.0,255.0,0.0,3.0,7.0
33626,23.0,5.0,75.0,0.0,13.0,8.0
41062,1.0,4.0,2.0,0.0,1.0,0.0
29278,17.0,16.0,367.0,189.0,2.0,0.0
48287,157.0,1833.0,2194.0,1576.0,2.0,53.0
26347,142.0,954.0,4147.0,1080.0,4.0,90.0
43366,0.0,0.0,5.0,0.0,2.0,0.0
20473,1069.0,2695.0,6860.0,1066.0,60.0,215.0
12604,32.0,3.0,164.0,0.0,1.0,0.0
21413,16.0,71.0,195.0,86.0,1.0,6.0
55684,0.0,0.0,0.0,12.0,2.0,0.0
55286,17.0,248.0,1120.0,183.0,2.0,5.0
29670,3.0,3.0,9.0,20.0,17.0,0.0
49806,30.0,14.0,32.0,0.0,1.0,0.0
3549,6.0,538.0,570.0,9127.0,1.0,170.0
3223,44.0,440.0,1312.0,171.0,1.0,46.0
9929,266.0,157.0,560.0,54.0,6.0,7.0
7506,107.0,2172.0,2334.0,517.0,10.0,20.0
48881,4.0,0.0,93.0,22.0,3.0,0.0
15169,1742.0,13046.0,43075.0,138449.0,301.0,29461.0
6719,0.0,33.0,42.0,18.0,4.0,0.0
1785,0.0,0.0,1.0,2.0,1.0,0.0
42560,266.0,48.0,463.0,1.0,15.0,0.0
14265,0.0,8.0,47.0,9.0,2.0,11.0
41390,60.0,22.0,185.0,3.0,6.0,7.0
41665,73.0,106.0,426.0,33.0,14.0,0.0
40823,0.0,54.0,2.0,0.0,1.0,0.0
43567,1.0,0.0,7.0,0.0,1.0,1.0
197712,25.0,54.0,411.0,220.0,3.0,0.0
47846,211.0,392.0,2343.0,199.0,8.0,82.0
201446,0.0,188.0,111.0,253.0,2.0,0.0
18229,62.0,1139.0,1909.0,424.0,2.0,0.0
19318,68.0,1679.0,4943.0,1403.0,25.0,34.0
57286,3.0,16.0,46.0,26.0,2.0,0.0
49505,2538.0,993.0,1680.0,453.0,9.0,50.0
24826,6.0,81.0,14.0,0.0,1.0,0.0
16265,680.0,296.0,950.0,68.0,75.0,13.0
25456,18.0,12.0,28.0,14.0,1.0,0.0
36351,1000.0,11974.0,19573.0,5660.0,31.0,3492.0
36352,233.0,11900.0,5981.0,727.0,7.0,19.0
19867,43.0,398.0,563.0,61.0,9.0,135.0
14742,55.0,132.0,577.0,18.0,4.0,105.0
2554,0.0,3.0,65.0,17.0,2.0,1.0
17858,4.0,10037.0,202.0,6.0,2.0,0.0
14744,2.0,12.0,378.0,41.0,5.0,32.0
2497,5.0,58.0,107.0,23.0,1.0,7.0
39572,62.0,368.0,1940.0,410.0,3.0,173.0
52477,0.0,0.0,0.0,0.0,1.0,0.0
8708,37.0,128.0,2037.0,87.0,1.0,34.0
196814,74.0,0.0,50.0,0.0,1.0,0.0
51274,7.0,1.0,60.0,0.0,7.0,0.0
9269,8.0,1.0,231.0,18.0,2.0,4.0
15435,63.0,76.0,147.0,1.0,5.0,0.0
34788,53.0,463.0,421.0,110.0,1.0,23.0
35916,22.0,320.0,552.0,340.0,1.0,56.0
41947,77.0,27.0,516.0,16.0,67.0,8.0
12252,2.0,0.0,33.0,4.0,2.0,9.0
36752,50.0,10.0,478.0,0.0,1.0,1.0
